ciclo,C,NC
1,100,100
2,100,100
3,100,100
4,100,100
5,100,100
6,100,100
7,100,100
8,100,100
9,100,100
10,100,100
11,100,100
12,100,100
13,100,100
14,100,100
15,100,100
16,100,100
17,100,100
18,100,100
19,100,100
20,100,100
21,100,100
22,100,100
23,100,100
24,100,100
25,100,100
26,100,100
27,100,100
28,100,100
29,100,100
30,100,100
31,100,100
32,100,100
33,100,100
34,100,100
35,100,100
36,100,100
37,100,100
38,100,100
39,100,100
40,100,100
41,100,100
42,100,100
43,100,100
44,100,100
45,100,100
46,100,100
47,100,100
48,100,100
49,100,100
50,100,100
51,100,100
52,100,100
53,100,100
54,100,100
55,100,100
56,100,100
57,100,100
58,100,100
59,100,100
60,100,100
61,100,100
62,100,100
63,100,100
64,100,100
65,100,100
66,100,100
67,100,100
68,100,100
69,100,100
70,100,100
71,100,100
72,100,100
73,100,100
74,100,100
75,100,100
76,100,100
77,100,100
78,100,100
79,100,100
80,100,100
81,100,100
82,100,100
83,100,100
84,100,100
85,100,100
86,100,100
87,100,100
88,100,100
89,100,100
90,100,100
91,100,100
92,100,100
93,100,100
94,100,100
95,100,100
96,100,100
97,100,100
98,100,100
99,100,100
100,100,100
101,100,100
102,100,100
103,100,100
104,100,100
105,100,100
106,100,100
107,100,100
108,100,100
109,100,100
110,100,100
111,100,100
112,100,100
113,100,100
114,100,100
115,100,100
116,100,100
117,100,100
118,100,100
119,100,100
120,100,100
121,100,100
122,100,100
123,100,100
124,100,100
125,100,100
126,100,100
127,100,100
128,100,100
129,100,100
130,100,100
131,100,100
132,100,100
133,100,100
134,100,100
135,100,100
136,100,100
137,100,100
138,100,100
139,100,100
140,100,100
141,100,100
142,100,100
143,100,100
144,100,100
145,100,100
146,100,100
147,100,100
148,100,100
149,100,100
150,100,100
151,100,100
152,100,100
153,100,100
154,100,100
155,100,100
156,100,100
157,100,100
158,100,100
159,100,100
160,100,100
161,100,100
162,100,100
163,100,100
164,100,100
165,100,100
166,100,100
167,100,100
168,100,100
169,100,100
170,100,100
171,100,100
172,100,100
173,100,100
174,100,100
175,100,100
176,100,100
177,100,100
178,100,100
179,100,100
180,100,100
181,100,100
182,100,100
183,100,100
184,100,100
185,100,100
186,100,100
187,100,100
188,100,100
189,100,100
190,100,100
191,100,100
192,100,100
193,100,100
194,100,100
195,100,100
196,100,100
197,100,100
198,100,100
199,100,100
200,100,100
201,100,100
202,100,100
203,100,100
204,100,100
205,100,100
206,100,100
207,100,100
208,100,100
209,100,100
210,100,100
211,100,100
212,100,100
213,100,100
214,100,100
215,100,100
216,100,100
217,100,100
218,100,100
219,100,100
220,100,100
221,100,100
222,100,100
223,100,100
224,100,100
225,100,100
226,100,100
227,100,100
228,100,100
229,100,100
230,100,100
231,100,100
232,100,100
233,100,100
234,100,100
235,100,100
236,100,100
237,100,100
238,100,100
239,100,100
240,100,100
241,100,100
242,100,100
243,100,100
244,100,100
245,100,100
246,100,100
247,100,100
248,100,100
249,100,100
250,100,100
251,100,100
252,100,100
253,100,100
254,100,100
255,100,100
256,100,100
257,100,100
258,100,100
259,100,100
260,100,100
261,100,100
262,100,100
263,100,100
264,100,100
265,100,100
266,100,100
267,100,100
268,100,100
269,100,100
270,100,100
271,100,100
272,100,100
273,100,100
274,100,100
275,100,100
276,100,100
277,100,100
278,100,100
